xo,yo,zo,x,y,z
24,0,8,24.2601286534529,0.325227472615475,8.17166514954495
24,0,9,24.1957881355344,0.14106198981158,9.20541949685654
24,0,10,24.2134869515858,0.221649171554074,10.1862619290404
25,0,0,26.3526689124612,1.44531120820618,1.01827094711471
25,0,1,25.7540596374598,1.5000205651518,1.52034859099095
25,0,2,25.6241478843165,0.44463829789294,2.66927427872211
25,0,3,25.3791974458234,0.590585551039307,3.43102122835483
25,0,4,25.3477407986599,0.557763003553565,4.50599048495758
25,0,5,25.2509387762364,0.722099924789838,5.58135009168849
25,0,6,25.3623822416515,0.722351758372013,6.61351708974201
25,0,7,25.3861400196486,0.877825800251315,7.50086750892111
25,0,8,25.220758523195,0.547208297697131,8.70815770045608
25,0,9,25.3049650705973,0.780740380188105,9.76939184172987
25,0,10,25.3134626703841,0.56722145629044,11.125249081554
26,0,0,26.9708501766473,0.762612857777267,1.43890563651607
26,0,1,27.4282711559696,0.963804940106592,2.16967552586958
26,0,2,27.7748948442715,1.56087432818456,3.1144948917891
26,0,3,28.2552052843579,0.595390237531515,4.04892332219198
26,0,4,29.2429060604738,1.39709986057168,5.3495669262757
26,0,5,30.1610601799794,1.01425623489758,6.56517235829525
26,0,6,28.7385163820574,1.24766679478898,8.11455386538203
26,0,7,29.3195484541357,2.23943401454747,9.69013087642752
26,0,8,30.4177328407705,3.07879829346967,10.6986356449546
26,0,9,30.6850017079134,1.95039435020442,11.7585178501039
26,0,10,30.4164393956999,3.50342265536899,11.7896224413014
27,0,0,27.7564967553954,0.909706200054691,0.860947104212709
27,0,1,27.5390397754079,0.501190070502864,1.74534998139085
27,0,2,27.3417442325457,0.668757368759885,2.78428712905501
27,0,3,27.2297311198344,0.642936669779027,3.55831376546913
27,0,4,27.3322602113545,0.690349658401393,4.82350411242687
27,0,5,27.4380225476344,1.00699256459993,5.52079805080393
27,0,6,27.6121779320495,0.441992272122555,6.69932313049674
27,0,7,27.8514202101548,0.793850872772804,7.46754030490155
27,0,8,27.8492323831326,0.3339322960629,8.32087660651111
27,0,9,27.8934251034543,0.16768191598049,9.42081679978347
27,0,10,27.4938523447378,0.5306456950772,10.3344551470818
28,0,0,28.8634656005741,0.359364282769734,0.536532524257734
28,0,1,28.9616730710422,0.697480237156369,1.56901930916856
28,0,2,29.0204530525463,0.668386513358428,2.7435990942587
28,0,3,29.1328607132106,0.883534453505996,3.87292058530548
28,0,4,29.6404131796314,0.636798555372643,5.10878102343758
28,0,5,29.4572947555687,1.36801393718678,5.77954402197974
28,0,6,29.6605489167745,0.846952185451865,7.14996172308645
